species_code,stratum,hauljoin,vessel,cruise,sex,length,age,year
10115,61,-4564,94,200801,2,1010,25,2008
10115,61,-4564,94,200801,2,910,30,2008
10115,61,-4564,94,200801,2,950,24,2008
10115,61,-4564,94,200801,2,570,7,2008
10115,61,-4564,94,200801,2,650,8,2008
10115,61,-4564,94,200801,2,510,6,2008
10115,61,-4564,94,200801,2,880,34,2008
10115,61,-4564,94,200801,2,550,7,2008
10115,61,-4564,94,200801,2,600,9,2008
10115,61,-4564,94,200801,2,500,8,2008
10115,61,-4564,94,200801,2,920,16,2008
10115,61,-4564,94,200801,2,700,NA,2008
10115,61,-4564,94,200801,2,660,10,2008
10115,61,-4564,94,200801,2,890,38,2008
10115,61,-4564,94,200801,2,870,17,2008
10115,61,-4564,94,200801,1,530,8,2008
10115,61,-4564,94,200801,1,520,9,2008
10115,61,-4564,94,200801,1,510,6,2008
10115,61,-4564,94,200801,1,480,6,2008
10115,61,-4564,94,200801,1,600,12,2008
10115,61,-4564,94,200801,1,780,24,2008
10115,61,-4564,94,200801,1,560,10,2008
30060,61,-4564,94,200801,3,110,1,2008
30060,61,-4564,94,200801,3,100,1,2008
30060,61,-4564,94,200801,3,90,1,2008
