year,species_code,length,males,females,unsexed
2017,10115,250,57854,0,0
2018,10115,250,0,29092,0
2019,10115,250,0,0,0
2021,10115,250,0,0,0
2017,10115,270,0,60521,0
2018,10115,270,0,0,0
2019,10115,270,0,0,0
2021,10115,270,0,0,0
2017,10115,280,30783,57539,0
2018,10115,280,31439,0,0
2019,10115,280,0,0,0
2021,10115,280,0,0,0
2017,10115,290,0,26582,0
2018,10115,290,0,0,0
2019,10115,290,0,0,0
2021,10115,290,0,0,0
2017,10115,300,30177,18177,0
2018,10115,300,31942,29092,0
2019,10115,300,0,0,0
2021,10115,300,0,0,0
2017,10115,310,0,28750,0
2018,10115,310,0,0,0
2019,10115,310,0,0,0
2021,10115,310,0,0,0
2017,10115,320,58663,0,0
2018,10115,320,34219,0,0
2019,10115,320,0,0,0
2021,10115,320,0,0,0
2017,10115,330,30108,29103,0
2018,10115,330,0,89092,0
2019,10115,330,0,0,0
2021,10115,330,0,0,0
2017,10115,340,30108,29103,0
2018,10115,340,31942,91218,0
2019,10115,340,0,0,0
2021,10115,340,0,0,0
2017,10115,350,0,0,0
2018,10115,350,32570,0,0
2019,10115,350,0,0,0
2021,10115,350,0,0,0
2017,10115,360,117448,75841,0
2018,10115,360,0,0,0
2019,10115,360,0,0,0
2021,10115,360,0,0,0
2017,10115,370,86320,46503,0
2018,10115,370,30905,58184,0
2019,10115,370,0,0,0
2021,10115,370,0,0,0
2017,10115,380,29471,56871,0
2018,10115,380,0,0,0
2019,10115,380,32506,0,0
2021,10115,380,0,0,0
2017,10115,390,29103,58574,0
2018,10115,390,0,29092,0
2019,10115,390,0,0,0
2021,10115,390,32079,30048,0
2017,10115,400,59321,57853,0
2018,10115,400,28781,31942,0
2019,10115,400,30970,0,0
2021,10115,400,0,0,0
2017,10115,410,129150,119281,0
2018,10115,410,28899,0,0
2019,10115,410,0,0,0
2021,10115,410,0,0,0
2017,10115,420,57188,0,0
2018,10115,420,0,91245,0
2019,10115,420,0,0,0
2021,10115,420,0,0,0
2017,10115,430,52469,88030,0
2018,10115,430,30905,57726,0
2019,10115,430,0,0,0
2021,10115,430,0,0,0
2017,10115,440,58806,29485,0
2018,10115,440,123945,0,0
2019,10115,440,0,27507,0
2021,10115,440,30627,0,0
2017,10115,450,30370,84977,0
2018,10115,450,63509,30905,0
2019,10115,450,30970,79639,0
2021,10115,450,0,28022,0
2017,10115,460,190470,0,0
2018,10115,460,28899,0,0
2019,10115,460,0,0,0
2021,10115,460,0,0,0
2017,10115,470,30370,62341,0
2018,10115,470,92216,0,0
2019,10115,470,0,0,0
2021,10115,470,0,0,0
2017,10115,480,87485,29103,0
2018,10115,480,57426,31682,0
2019,10115,480,61376,0,0
2021,10115,480,0,0,0
2017,10115,490,48156,27746,0
2018,10115,490,0,0,0
2019,10115,490,92348,0,0
2021,10115,490,0,0,0
2017,10115,500,39637,65101,0
2018,10115,500,28899,0,0
2019,10115,500,60080,0,0
2021,10115,500,19594,0,0
2017,10115,510,59533,48423,0
2018,10115,510,93958,0,0
2019,10115,510,0,0,0
2021,10115,510,0,0,0
2017,10115,520,140700,131275,0
2018,10115,520,31332,0,0
2019,10115,520,0,0,0
2021,10115,520,0,28962,0
2017,10115,530,59800,0,0
2018,10115,530,60928,29092,0
2019,10115,530,32506,0,0
2021,10115,530,28022,60166,0
2017,10115,540,116769,145586,0
2018,10115,540,61357,31332,0
2019,10115,540,147879,29152,0
2021,10115,540,31576,30048,0
2017,10115,550,119661,145701,0
2018,10115,550,61542,87604,0
2019,10115,550,0,31879,0
2021,10115,550,18622,30756,0
2017,10115,560,150706,87931,0
2018,10115,560,30707,31682,0
2019,10115,560,0,31491,0
2021,10115,560,30048,0,0
2017,10115,570,182994,71429,0
2018,10115,570,123659,60401,0
2019,10115,570,61888,31879,0
2021,10115,570,0,29814,0
2017,10115,580,281253,203814,0
2018,10115,580,63527,28781,0
2019,10115,580,0,61387,0
2021,10115,580,0,28962,0
2017,10115,590,210091,259272,0
2018,10115,590,88713,52303,0
2019,10115,590,56903,118501,0
2021,10115,590,0,0,0
2017,10115,600,437642,151907,0
2018,10115,600,286561,88556,0
2019,10115,600,0,31355,0
2021,10115,600,36153,0,0
2017,10115,610,198059,79399,0
2018,10115,610,156724,154131,0
2019,10115,610,58753,28576,0
2021,10115,610,0,30756,0
2017,10115,620,253168,306309,0
2018,10115,620,111834,266535,0
2019,10115,620,30977,31879,0
2021,10115,620,30291,58070,0
2017,10115,630,166093,495544,0
2018,10115,630,59663,99788,0
2019,10115,630,76758,147939,0
2021,10115,630,29429,0,0
2017,10115,640,69972,353919,0
2018,10115,640,91789,244946,0
2019,10115,640,0,88019,0
2021,10115,640,18870,27782,0
2017,10115,650,49735,505575,0
2018,10115,650,63509,298656,0
2019,10115,650,29279,89328,0
2021,10115,650,0,20106,0
2017,10115,660,87604,382462,0
2018,10115,660,90984,302984,0
2019,10115,660,60843,159934,0
2021,10115,660,59591,58378,0
2017,10115,670,0,318913,0
2018,10115,670,85615,285932,0
2019,10115,670,62605,118177,0
2021,10115,670,0,0,0
2017,10115,680,0,280680,0
2018,10115,680,19211,310420,0
2019,10115,680,32118,85040,0
2021,10115,680,36153,0,0
2017,10115,690,0,245963,0
2018,10115,690,96681,259075,0
2019,10115,690,32506,138519,0
2021,10115,690,0,18980,0
2017,10115,700,27217,226891,0
2018,10115,700,19329,345711,0
2019,10115,700,0,127328,0
2021,10115,700,66201,58640,0
2017,10115,710,0,108045,0
2018,10115,710,0,223767,0
