year,length,species_code,males,females,unsexed,region
1999,140,10261,113050,59788,0,W
1999,140,10262,20092,0,0,W
1999,150,10261,134769,43315,0,W
1999,150,10262,19932,57137,39871,W
1999,160,10261,485049,146446,0,W
1999,160,10262,88282,64496,19935,W
1999,170,10261,471170,199187,0,W
1999,170,10262,184168,133820,0,W
1999,180,10261,430201,282468,0,W
1999,180,10262,161317,122494,0,W
1999,190,10261,505119,462528,0,W
1999,190,10262,395303,145491,19935,W
1999,200,10261,779762,548005,0,W
1999,200,10262,412062,297874,19935,W
1999,210,10261,895906,598539,0,W
1999,210,10262,429248,91581,39871,W
1999,220,10261,955264,1051850,0,W
1999,220,10262,387511,323937,59806,W
1999,230,10261,1759160,1141812,0,W
1999,230,10262,805877,597977,19935,W
1999,240,10261,1894814,1527920,0,W
1999,240,10262,830758,251251,0,W
1999,250,10261,2237614,1514957,0,W
1999,250,10262,597413,631987,39871,W
1999,260,10261,4230056,2035048,0,W
1999,260,10262,1016343,484943,0,W
1999,270,10261,4514040,2241330,0,W
1999,270,10262,1067917,604339,119613,W
1999,280,10261,6248471,3452459,0,W
1999,280,10262,765328,1090209,79742,W
1999,290,10261,5091786,3799237,0,W
1999,290,10262,917892,772339,39871,W
1999,300,10261,4897901,4043084,0,W
1999,300,10262,891385,873376,59806,W
1999,310,10261,3142091,4050208,26268,W
1999,310,10262,1037516,945463,19935,W
1999,320,10261,2135432,6548879,0,W
1999,320,10262,1149364,966578,119613,W
1999,330,10261,1241693,7135502,0,W
1999,330,10262,2186836,1110883,19935,W
1999,340,10261,792694,7358061,0,W
1999,340,10262,1951889,1176640,79742,W
1999,350,10261,444528,6525821,26268,W
1999,350,10262,2096959,1736553,19935,W
1999,360,10261,594839,6111335,0,W
1999,360,10262,1968962,2077680,19935,W
1999,370,10261,475770,3963979,0,W
1999,370,10262,1010952,2346559,39871,W
1999,380,10261,201720,2052339,0,W
1999,380,10262,551264,2395852,59806,W
1999,390,10261,150320,2199701,0,W
1999,390,10262,484768,3494062,19935,W
1999,400,10261,35607,1129275,0,W
1999,400,10262,308992,3663248,19935,W
1999,410,10261,43091,1456193,26268,W
1999,410,10262,211606,4439132,19935,W
1999,420,10261,0,905307,0,W
1999,420,10262,63593,4615010,19935,W
1999,430,10261,0,948742,0,W
1999,430,10262,47687,2937119,0,W
1999,440,10261,19451,655158,0,W
1999,440,10262,0,2938059,0,W
1999,450,10261,0,566377,0,W
1999,450,10262,0,1770862,0,W
1999,460,10261,0,198199,0,W
1999,460,10262,0,1447911,0,W
1999,470,10261,0,127221,0,W
1999,470,10262,0,909422,0,W
1999,480,10261,0,96032,0,W
1999,480,10262,0,453431,0,W
1999,490,10261,0,38661,0,W
1999,490,10262,0,266952,19935,W
1999,500,10261,0,45510,0,W
1999,500,10262,0,230153,0,W
1999,510,10261,0,22755,0,W
1999,510,10262,0,110596,0,W
1999,520,10261,0,19779,0,W
1999,520,10262,0,47693,0,W
1999,530,10261,0,19779,0,W
1999,530,10262,0,45365,0,W
1999,540,10261,0,0,0,W
1999,540,10262,0,0,0,W
1999,550,10261,0,0,0,W
1999,550,10262,0,0,0,W
1999,560,10261,0,0,0,W
1999,560,10262,0,0,0,W
1999,570,10261,0,0,0,W
1999,570,10262,0,25273,0,W
1999,580,10262,0,0,0,W
1999,590,10261,0,0,0,W
1999,590,10262,0,0,0,W
1999,620,10261,0,0,0,W
1999,680,10262,0,0,0,W
2001,50,10262,0,0,0,W
